query,query_id,query_type,first_answer,passage_text
what kind of organism is a black damsel,19715,entity,Fish,"Known by multiple common names, such as humbug damselfish, three-striped damselfish and white-tailed damselfish, Dascyllus aruanus is a feisty little fish that adapts well to aquarium life. Three-striped damselfish can be pugnacious and are better introduced at the latter stages of setting up a marine fish community. Remove as many of the three-striped damselfish fry as you want to try and raise to a rearing aquarium, with an absence of adult fish and invertebrates that might look upon the young fish as tasty morsels for the taking. Dascyllus aruanus is a worthy first-time breeding project for up-and-coming marine aquarists."
who coined the phrase it is what it is,19716,person,In a New York State hermit's letter to the editor of an Adirondack Mountain newspaper.,"The first reference to the phrase, '...it is what it is,' that I've come across is from 1943, in a New York State hermit's letter to the editor of an Adirondack Mountain newspaper. The hermit was named Noah John Rondeau, and he concluded his letter with this particular phrase."
what is oilskin fabric,19717,description,A macintosh made from cotton fabric treated with oil and pigment to make it waterproof.,"Noun. 1. oilskin-a macintosh made from cotton fabric treated with oil and pigment to make it waterproof. slicker. mac, mack, mackintosh, macintosh-a waterproof raincoat made of rubberized fabric. 1. (Textiles). a. a cotton fabric treated with oil and pigment to make it waterproof. b. (as modifier): an oilskin hat. 2. (Clothing & Fashion) (often plural) a protective outer garment of this fabric."
how long is german measles contagious,19718,numeric,7 days before to 7 days after the rash appears,"Quick Answer. The German measles are contagious for 7 days before to 7 days after the rash appears, as noted by the New York State Department of Health. Rubella is another term for the German measles, and the disease itself is highly contagious and can be seen in patients through a rash, swollen glands a fever. Know More."
what is a camerata,19719,description,"The Camerata are a group of four powerful and influential individuals in the city of Cloudbank. Established by Grant Kendrell and Royce Bracket, the group circumvents the official administration and democratic nature of Cloudbank, in order to establish some form of stability in the ever-changing city.","The Camerata are a group of four powerful and influential individuals in the city of Cloudbank. Established by Grant Kendrell and Royce Bracket, the group circumvents the official administration and democratic nature of Cloudbank, in order to establish some form of stability in the ever-changing city. The group uses the Transistor to integrate various individuals of influence. The true reason for integration is unknown, perhaps the Camerata had moral objection to outright killing their targets. Integration, however, does also appear to increase the functionality of the Transistor."
how long does it take to bake a pound cake,19720,numeric,An hour to 1 hour 15 minutes.,"1. Preheat your oven to 300ºF (150ºC). In your pan or pans (this recipe is quite large -- but pound cakes are perfect for a double-layer masterpiece), line them with cooking spray or butter; this prevents sticking. You could also sprinkle with flour (on top of the butter) or line with parchment paper. Pour batter into your pan(s) and place in the oven. Cook for 75 minutes, checking periodically. Some ovens cook unevenly or quickly -- if this describes yours, keep an eye on it. 1  If to be used for fancy ornamented cakes, bake 30 to 35 minutes in a dripping-pan. 2  Insert a skewer or toothpick to see if it's finished."
what is the maximum dose of subutex,19721,numeric,8 mg on the first day and 16 mg (the full dosage) on the second day.,"Subutex Dosage for Treating Opioid Dependence. One typical way to dose Subutex is to start with 8 mg on the first day and 16 mg (the full dosage) on the second day. Often, by the third day you can be switched to Suboxone ® (buprenorphine and naloxone). Typically, the initial dose for treating opioid dependence is 8 mg on the first day and 16 mg"
salary difference in same team,19722,numeric,"$56,000","* Salaries flatten when nurses are in a position for more than 10 years. Nurses working in the same position for 11 to 15 years report a salary of $56,000; those holding their positions for over 15 years made $56,700. * As in previous years, men in nursing made more money than women. The average salary for all male respondents was $54,600, compared with $50,600 for women-an 8% difference. "
what was tet,19723,description,"The Tet Offensive was a military campaign during the Vietnam War that began on January 31, 1968 by the forces of the National Liberation Front for South Vietnam. ","The Tet Offensive was a military campaign during the Vietnam War that began on January 31, 1968 by the forces of the National Liberation Front for South Vietnam. The purpose w … as to displace the invading army presently stationed in South Vietnam and regain control of the country by the Vietnamese."
describe the pathway of a nerve impulse through a reflex arc,19724,description,,
what energy is used in photosynthesis,19725,description,"Photosynthesis is a process used by plants and other organisms to convert light energy, normally from the Sun, into chemical energy that can be later released to fuel the organisms' activities.","Photosynthesis is a process used by plants and other organisms to convert light energy, normally from the Sun, into chemical energy that can be later released to fuel the organisms' activities. However, not all organisms that use light as a source of energy carry out photosynthesis, since photoheterotrophs use organic compounds, rather than carbon dioxide, as a source of carbon. In plants, algae and cyanobacteria, photosynthesis releases oxygen."
"The smallest blood vessels in your body,where gas exchange occurs are called",19726,description,Capillaries.,"Gas exchange is the delivery of oxygen from the lungs to the bloodstream, and the elimination of carbon dioxide from the bloodstream to the lungs. It occurs in the lungs between the alveoli and a network of tiny blood vessels called capillaries, which are located in the walls of the alveoli. The walls of the alveoli actually share a membrane with the capillaries in which oxygen and carbon dioxide move freely between the respiratory system and the bloodstream."
what is rappelling,19727,description,Rappelling is the process of coming down from a mountain that is usually done with two pieces of rope.,Rappelling is the process of coming down from a mountain that is usually done with two pieces of rope. Use a natural anchor or a set of bolts to rappel from with help from an experienced rock climber in this free video on rappelling techniques. Expert: Scott Kiesling. Contact: www.climbon.biz.
what does a brewery representative do,19728,person,They are the soldiers on the ground that Boost Beer Sales.Selling Beer is by far one of the most amazing jobs that any person can have.,A Beer Sales Representative is an important member of a beer manufacturers business. They are the soldiers on the ground that Boost Beer Sales. Selling Beer is by far one of the most amazing jobs that any person can have. Becoming a Beer Sales Representative. Beer jobs are not that easy to find or get because every guy in their right mind wants to become a beer rep. Beer companies are looking for guys that know how to Sell and Market a product. They want people that have a passion for the beer business
how long will i be in hospital after a gallbladder surgery last,19729,numeric,An overnight stay for a keyhole surgery and three to five days stay for an open surgery.,"Recovering from a gallbladder removal. Recovery after keyhole surgery to remove your gallbladder (laparoscopic cholecystectomy) is usually quick. Most people are able to eat and drink and leave hospital on the same day as the surgery. In some cases you may be advised to stay overnight and go home the next day. After open surgery, you will have to stay three to five days in hospital and your recovery time will be longer. Typically, it takes around four to six weeks to recover fully from the effects of open surgery. "
at what age does medicare begin,19730,numeric,65,"For most people, Medicare starts the 1st day of the month you turn age 65. You can sign up for Medicare Part A & B which covers about 80% of the costs of care. You can also sign up for a Medicare Supplement plan (Medigap) to cover the difference. Medicare along with a Medicare Supplement is great health insurance."
Adoption fees for rabbits,19731,numeric,$85 ($125.00 for a pair),"Adoption Fees Michigan Rabbit Rescue is a not-for-profit organization. The adoption donation fee is $85 ($125.00 for a pair), payable to Michigan Rabbit Rescue. This fee also includes the cost of a copy of the House Rabbit Handbook ($9.00) which is provided with all adoptions. The book fee will not be charged twice for adopting a pair, or if you already own the book."
what is a diabetic kidney,19732,description,A complication of type 1 or type 2 diabetes caused by damage to the kidneys' delicate filtering system. ,"Diabetic kidney disease, or diabetic nephropathy, is a complication of type 1 or type 2 diabetes caused by damage to the kidneys' delicate filtering system. Your kidneys contain millions of tiny blood vessel clusters (glomeruli) that filter waste from your blood."
why is james madison father of constitution,19733,description,James Madison made a great contribution by writing The federalist paper for the constitution of United states.,"James Madison. James Madison, America's fourth President (1809-1817), made a major contribution to the ratification of the Constitution by writing The Federalist Papers, along with Alexander Hamilton and John Jay. In later years, he was referred to as the Father of the Constitution.."
what temp does meat need to be cooked to,19734,numeric,160° F to 165° F.,"Marinated Grilled Steak. The proper temperature to cook a medium-rare steak is 130° - 135° F. Although, according to foodsafety.gov, beef, lamb, and pork should be cooked to at least 145° (or above, if desired). Ground meat must be cooked to at least 160° F. Ground poultry must be cooked to at least 165°. "
what is a mobile analog phone,19735,description,"Advanced Mobile Phone System (AMPS) is an analog mobile cell phone system standard developed by Bell Labs, and officially introduced in the Americas on October 13, 1983, Israel in 1986, Australia in 1987, and Pakistan in 1990.","Motorola DynaTAC 8000X TACS mobile phone. Advanced Mobile Phone System (AMPS) is an analog mobile cell phone system standard developed by Bell Labs, and officially introduced in the Americas on October 13, 1983, Israel in 1986, Australia in 1987, and Pakistan in 1990. It was the primary analog mobile phone system in North America (and other locales) through the 1980s and into the 2000s. As of February 18, 2008, carriers in the United States were no longer required to support AMPS and companies such as AT&T and Verizon have discontinued this service permanently."
traits that are derived from a common ancestor are said to be,19736,description,Homologous,"Convergent evolution creates analogous structures that have similar form or function, but that were not present in the last common ancestor of those groups. The cladistic term for the same phenomenon is homoplasy, from Greek for same form. The recurrent evolution of flight is a classic example of convergent evolution. Functionally similar features arising through convergent evolution are termed analogous, in contrast to homologous structures or traits, which have a common origin, but not necessarily similar function."
residential solar cost,19737,numeric,"$15,000 and $40,000","System Costs. As mentioned in the introduction, residential solar systems are typically sized from 3 to 8kW and end up costing somewhere between $15,000 and $40,000. In this section, we will look at the costs of the various components of a solar system (not installation or operational costs). Solar Panels. The solar panels themselves usually account for about 30% of total costs. Residential solar panels with a combined capacity of 3-8kW typically cost between $4,000-$16,000. The best solar panels are not necessarily the most expensive."
irs late penalty fees,19738,numeric,5 percent of the unpaid taxes for each month,1 The penalty for filing late is normally 5 percent of the unpaid taxes for each month or part of a month that a tax return is late. 2  That penalty starts accruing the day after the tax filing due date and will not exceed 25 percent of your unpaid taxes.
what is the discriminant of an equation,19739,description,"In the quadratic formula, the expression under the square root sign, b 2 – 4 ac, is called the discriminant.","The Discriminant. In the quadratic formula, the expression under the square root sign, b 2 – 4 ac, is called the discriminant. The sign of the discriminant can be used to find the number of solutions of the corresponding quadratic equation, ax 2 + bx + c = 0. If the discriminant b 2 – 4 ac is negative, then there are no real solutions of the equation. If the discriminant is positive, then the ± symbol means you get two answers. The solutions of this equation correspond to the x-intercepts of the parabola. y = ax 2 + bx + c. So, you can also use the discriminant to find the number of x-intercepts of a parabola."
gayla name meaning,19740,description,Festive party,"English Meaning: The name Gayla is an English baby name. In English the meaning of the name Gayla is: Festive party. American Meaning: The name Gayla is an American baby name. In American the meaning of the name Gayla is: Festive party. SoulUrge Number: 2. Expression Number: 1. People with this name have a deep inner desire for love and companionship, and want to work with others to achieve peace and harmony."
what animal is a possum,19741,entity,"Foxes, cats and birds.","Foxes, cats and birds of prey are the main predators of the possum but other animals such as Tasmanian devils, dogs, dingos and snakes also prey on the possum. The possum is a very solitary animal, and possum individuals only really come together to mate. The pygmy possum is the smallest species of possum in the world, growing to just 10cm tall, where the brushtail possum can reach more than a meter in height."
types of bacterial respiration,19742,description,It is basically of two types aerobic and anaerobic which may be obligate or facultative.,The respiration in bacteria is basically of two types aerobic and anaerobic which may be obligate or facultative. They are further classified as: Obligate aerobes: These are strict aerobes that mean they always require oxygen for their survival. They are not able to withstand anaerobic conditions. 
what are monocytes,19743,description,Monocytes are a type of white blood cells (leukocytes).,"3D Rendering of a Monocyte. Monocytes are a type of white blood cells (leukocytes). They are the largest of all leukocytes. They are part of the innate immune system of vertebrates including all mammals (humans included), birds, reptiles, and fish. Monocytes which migrate from the bloodstream to other tissues will then differentiate into tissue resident macrophages or dendritic cells. Macrophages are responsible for protecting tissues from foreign substances, but are also suspected to be important in the formation of important organs like the heart and brain."
interior decorator cost per hour,19744,numeric,$50 and $200,"The cost of hiring an interior designer varies greatly. Most charge per hour, with the current market rate between $50 and $200 per hour. You would pay this in addition to the cost of furniture, accessories, artwork, etc. Some interior designers charge their clients by marking up the decor they choose."
certified child life specialist average salary locally,19745,numeric,"$37,000","$37,000. Average Child Life Specialist salaries for job postings in Las Vegas, NV are 19% lower than average Child Life Specialist salaries for job postings nationwide. "
What Kills Scorpions Naturally,19746,entity,bugs,"Keep yourself, your loved ones, and your home safe from scorpions with diatomaceous earth. It's a safe product that works through a mechanical reaction, rather than chemical, to kill bugs. When the scorpion comes into contact with the DE, the powder will attach to the exoskeleton of the scorpion and begin to dehydrate."
what is the meaning of powhiri,19747,description,It is the ritual ceremony of encounter.,"The powhiri is the ritual ceremony of encounter. Traditionally the process served to discover whether the visiting party were friend or foe, and so its origins lay partly in military necessity. The kaupapa or purpose of the occasion will be discussed, and perhaps general present day issues and concerns might be aired. Each speech is followed by the performance of a waiata (song), or sometimes a haka (dance), by the orator's support group."
Burly Man Definition,19748,description,Often refers to a man who is able to grow a corn-silk like beard.,Burly Man. Often refers to a man who is able to grow a corn-silk like beard. A burly man is not afraid to share his eclectic tastes such as music and authors. A burly man is a true friend who is reliable.
do game shows pay their contestants,19749,description,Yes,"1 If you can use most of the prizes the show offers, such as a new car or trip, you may be content to appear on a game show that features material prizes. 2  If not, you should probably try out for a show where cash is the main prize. 3  In the United States, game show contestants must pay taxes on any prizes they win. 2. Meet the eligibility requirements. All game shows have certain eligibility requirements for their contestants. Generally, you must be at least 18 years of age, except for those shows that use child or teenage contestants, and you are allowed to appear on no more than 1 game show per year."
diseases caused by clostridium,19750,entity,Tetanus,"by Seth Cowan. Tetanus is a disease caused by the bacteria Clostridium tetani, a gram negative rod bacterium. C. tetani spores generally reside in manure rich soils after being passed from the normal gut flora of animals. "
what is the salary of a person with a biology degree,19751,numeric,"$51,000 per year","Bachelor of science in biology degree holders working as research laboratory technicians earned $28,000 to $38,000 per year, according to a survey of 1,303 biology majors by PayScale.com that was updated in November 2010. Biology majors working as high school teachers made salaries between $36,801 and $48,519 annually. Mid-Career Income. Molecular biology majors with 15 years of experience earned a median salary of $82,900 per year, according to PayScale.com's College Salary Report, while those with a general biology degree earned $72,800 a year, just ahead of microbiology majors, whose median mid-career salary was $72,600."
how tall is jack griffo,19752,numeric, 5' 6 (167.64 cm),"Jack Griffo Height: 5' 6 (167.64 cm). Standing at a height of 5 feet, 6 inches tall Jack Griffo is taller than 11.9% of all men, as reflected by the figure's fill height %.Conversely, at this height Jack Griffo is not as tall as 88.1% of all men."
what is meant by pneumatics,19753,description,Breath,"Pneumatics (Greek:which means breath) is a branch of physics applied to technology that makes use of gas or pressurized air. Pneumatic systems used extensively in industry are commonly powered by compressed air or compressed inert gases. A centrally located and electrically powered compressor powers cylinders, air motors, and other pneumatic devices. A pneumatic system controlled through manual or automatic solenoid valves is selected when it provides a lower cost, more flexible, or safer alternative to electric motors and actuators. Pneumatics also has applications in dentistry, construction, mining, and other areas."
what is a laryngocele,19754,description,"A congenital anomalous air sac communicating with the cavity of the larynx, which may bulge outward on the neck.","Laryngocele refers to a congenital anomalous air sac communicating with the cavity of the larynx, which may bulge outward on the neck. It may also be acquired, seen in glassblowers due to continual forced expiration producing increased pressures in the larynx which leads to dilatation of the laryngeal ventricle (sinus of Morgagni). It is also seen in people with chronic obstructive airway disease."
what age can a child go swimming alone,19755,numeric,8 years,"Posted: Jul-12 10:24 AM (1 of 31). Our local pools allow kids to swim alone at 8 years old. They are staffed with lifeguards but even so, my newest Parent's magazine stated that accidental drowning deaths were the second most common way for children ages 5-14 to lose their life. The particular story they featured had a child age 4, who had completed swimming lessons and was fearless of the water. Our local pool has the rule that kids 7 and under need to be with an adult in the water. 8-11 an adult needs to be at the pool with them but can sit in on the deck of the pool. After 11 if they can pass a swim test then they're good to go."
what kind of coffee pods does delonghi use?,19756,entity,espresso and cappuccino,"See how easy it is to make authentic espresso and cappuccino at home with a De’Longhi pump espresso machine. Now you can make authentic espressos, lattes and cappuccinos to suit your taste, in the comfort of your kitchen. For milk-based beverages, the manual frother mixes steam and milk to create a rich, creamy froth for evenly textured drinks — just the way you like them. Our patented three-in-one filter holders give you total control over your beverages and allow you to choose from one shot, two shot, or convenient espresso pods."
why choose range or interquartile range,19757,description,"The interquartile range is another range used as a measure of the spread. The difference between upper and lower quartiles (Q 3 –Q 1), which is called the interquartile range, also indicates the dispersion of a data set.","Interquartile range. The interquartile range is another range used as a measure of the spread. The difference between upper and lower quartiles (Q 3 –Q 1), which is called the interquartile range, also indicates the dispersion of a data set. The interquartile range spans 50% of a data set, and eliminates the influence of outliers because, in effect, the highest and lowest quarters are removed. Semi-quartile range. The semi-quartile range is another measure of spread. It is calculated as one half the difference between the 75th percentile (often called Q 3) and the 25th percentile (Q 1). The formula for semi-quartile range is: (Q 3 –Q 1) ÷ 2."
what are liver spots caused by,19758,description,"Liver spots are changes in skin color that occur in older skin. The coloring may be due to aging, exposure to the sun or other sources of ultraviolet light, or causes that are not known.","Causes of liver spots. Liver spots are caused due to exposure to UV or ultraviolet light from the sun over a period of several years. It can also result from excessive use of tanning beds and tanning lamps. The epidermis or the upper layer of the skin contains a pigment known as melanin, which gives the skin its color. Liver spots, also known as age spots and solar lentigines, are flat, brown, gray or black spots that generally occur on the face, shoulders, hands and arms."
History of Microchip Timeline,19759,description,The Chip or microchip was invented by both Jack Kilby and Robert Noyce.,1 History of Integrated Circuit. 2  The integrated circuit otherwise known as The Chip or microchip was invented by both Jack Kilby and Robert Noyce.
medicare conditions of participation emtala,19760,description,"a requirement for participation in the Medicare program, that hospitals must maintain a list of physicians who are on call for duty after the initial examination to provide treatment necessary to stabilize an individual with an emergency medical condition.","Section 1866(a)(1)(I)(iii) of the Act states, as a requirement for participation in the Medicare program, that hospitals must maintain a list of physicians who are on call for duty after the initial examination to provide treatment necessary to stabilize an individual with an emergency medical condition."
does peanut butter contain cholesterol,19761,description,No,"Peanut butter is an excellent source of nutrition. Required to contain at least 90 percent peanuts, it includes more than 30 vitamins and minerals. Peanut butter contains no cholesterol or trans fats, according to the National Peanut Board. In fact, studies show that peanut butter may even improve your levels of good cholesterol."
can you take left hand lane to turn right on a dual carriageway roundabout,19762,description,No,"You may think you can turn right from any lane on a roundabout. But that's not the rule. On a multi-lane roundabout, you should turn right from the right lane. You can only turn right from the left hand lane of a roundabout if the road markings indicate that you can do so. So, if the arrows on the road don't indicate otherwise, turning right from the left hand lane is illegal. When to turn off a multi-lane roundabout. You can position your car to be in the correct lane at a roundabout by looking for signs, lane markings and arrows when approaching the roundabout. Unless traffic lane arrows indicate otherwise, if you want to: 1  turn left, use the left lane. 2  turn right, use the right lane. 3  go straight ahead, use either lane"
what does the oad survey expert level color mean,19763,description,The color schemes used by choropleth maps is different from general maps in that the color represents data for a given area.,Special maps called choropleth maps use map color to represent statistical data. The color schemes used by choropleth maps is different from general maps in that the color represents data for a given area.
example of involuntary muscle tissue is,19764,description,A beating heart,"Contractions of cardiac muscles move blood throughout the veins and arteries of the circulatory system. Involuntary muscles in the eye's iris to expand and contract in response to light. A beating heart is one of the best examples of an involuntary muscle. Contractions of cardiac muscles push blood through the four chambers of the human heart. The process of peristalsis, which pushes food through the esophagus and small intestine, is controlled by involuntary muscles."
what is slime,19765,description,A substance that is slippery and sticky and commonly used as a toy.,Slime is a substance that is slippery and sticky and commonly used as a toy. This substance can be made at home or may be bought from toy stores. This is a type of board game that involves a plastic monster that has a slimy mouth. The object of the game is to avoid being “slimed” by this plastic monster. Other toymakers also joined the slime craze and made their own versions of this popular sticky toy.
how to make a poached egg without an egg poacher,19766,description,"Bring the water to simmering Lightly grease a medium skillet (about 10 inches in diameter) or large saucepan. This greasing step is optional but helps keep the whites from sticking to the sides of the pan, also poach eggs in other hot liquids, such as broth, milk, wine, or tomato juice. Break one cold egg into a small dish. Carefully slide the egg into the simmering water, holding the lip of the dish as close to the water as possible. Take care not to break the yolk.","1 Remove the egg: Use a slotted spoon to remove the egg from the water. 2  Pat the egg dry: This is optional as well, but I like to pat the egg dry lightly with a paper towel. 3  Season and eat! 4  Place the poached egg on a salad, piece of toast, or a plate and season to taste with salt and pepper. Let me show you how I poach an egg; there's really nothing to it. Pin it. The big difference between an easy poached egg and a slightly more difficult one is your tolerance for imperfection. I admit it's tough to get the perfectly round, satiny smooth poached eggs you see adorning restaurant dishes."
what is a harrier,19767,description,"It is a smaller version of the English foxhound, more suited for hunting hares.","The harrier is a smaller version of the English foxhound, more suited for hunting hares. It has large bone for its size, and is slightly longer than tall. It is a scenting pack hound and should be capable of running with other dogs, scenting its quarry and hunting tirelessly over any terrain for long periods. "
how long should a drive thru take,19768,numeric,Average 181 seconds,"Last year’s study indicated that the average drive-thru wait time hit 181 seconds, up from 173 seconds the year before. According to the new study—an expanded version that incorporated 23 quick-serve restaurant brands, up from just seven in 2013—the average wait time reached a record high of 203 seconds."
what is plasmalyte,19769,description,PlasmaLyte is a family of balanced crystalloid solutions with multiple different formulations available worldwide according to regional clinical practices and preferences.,"PlasmaLyte is a family of balanced crystalloid solutions with multiple different formulations available worldwide according to regional clinical practices and preferences. It closely mimics human plasma in its content of electrolytes, osmolality, and pH. It shares the same problems as most other crystalloid fluids (fluid overload, edema with weight gain, lung edema, and worsening of the intracranial pressure). A unique concern is that most formulations contain magnesium, which may affect peripheral vascular resistance, heart rate, and worsen organ ischemia."
what is a goods receipt,19770,description,A Goods Receipt is a document issued to acknowledge the receipt of the items listed in it.,"A Goods Receipt is a document issued to acknowledge the receipt of the items listed in it. In other words, it is a document used to register in Openbravo the specifics of items physically received in the warehouse."
cortical functions of the brain,19771,description,1 Determining Intelligence. 2 Determining Personality. 3 Motor Function. 4 Planning and Organization.,Cerebral Cortex: The cerebral cortex covers the outer portion (1.5mm to 5mm) of the cerebrum. It is the layer of the brain often referred to as gray matter. The cortex (thin layer of tissue) is gray because nerves in this area lack the insulation that makes most other parts of the brain appear to be white. Most information processing occurs in the cerebral cortex. The cerebral cortex is divided into lobes that each have a specific function. Function: The cerebral cortex is involved in several functions of the body including: 1  Determining Intelligence. 2  Determining Personality. 3  Motor Function. 4  Planning and Organization.
what is conduction,19772,description,Conduction is the transfer heat from a hotter to a colder body by vibrating.,"Conduction is when heat is transferred through a material by passing thermal energy from molecule to molecule (from collisions). An example is when you heat up one end of a pa … n and the handle gets hot a little later. Convection is when, as they say, heat rises. Conduction:-   Conduction is the transfer heat from a hotter to a colder body by  vibrating.   Convection:-   Is the main heat transfer mechanism in fluids.   … Radiation:-   Radiation is the process of particles transferring heat through  matter or space. Answered"
what is a tilde accent,19773,description,"A diacritic /daɪ.əˈkrɪtɪk/ – also diacritical mark, diacritical point, or diacritical sign – is a glyph added to a letter, or basic glyph","A diacritic /daɪ.əˈkrɪtɪk/ – also diacritical mark, diacritical point, or diacritical sign – is a glyph added to a letter, or basic glyph. The term derives from the Greek διακριτικός (diakritikos, diakritikós), distinguishing which is composed of the Ancient greek (διά, dia) diá through (and κρίνω krinein, krínein or). krino kríno to separate "
is armed assault a felony,19774,description,Yes,"Any assault committed while armed with a weapon can be considered a felony offense on the face of it. However a simple assault (committed by a physical touching (i.e.: h … ands or fist) is customarily classifed as a misdemeanor, UNLESS, it is a continuous event and escalates into a merciless beating.. Aggravated assault is a felony in most, if not all states. Usually this crime is committed when a person threatens another with a weapon or an advantage of size or strength (i … n the latter case, for example, if the victim is a petite woman and the perp is a burly man). 31 people found this useful."
